"('く', 'な', 'る', 'て', 'き', 'に', ':', 'は')","9621"
"('く', 'な', 'っ', 'て', 'き', 'に', ':', 'は')","9621"
"(':', 'で', 'っ', 'ま', 'こ', 'が', 'ょ', 'は')","9621"
"(':', 'で', 'る', 'ま', 'こ', 'が', 'ょ', 'は')","9621"
"('く', 'な', 'る', 'て', 'こ', 'に', ':', 'は')","9621"
"('く', 'な', 'っ', 'て', 'こ', 'に', ':', 'は')","9621"
"('く', 'な', 'る', 'て', 'こ', 'に', ':', 'す')","9621"
"('く', 'な', 'っ', 'て', 'こ', 'に', ':', 'す')","9621"
"('く', 'な', 'る', 'て', 'き', 'が', ':', 'は')","9621"
"(':', 'で', 'る', 'ま', 'こ', 'に', 'ょ', 'す')","9621"
"(':', 'で', 'っ', 'ま', 'こ', 'に', 'ょ', 'は')","9621"
"(':', 'で', 'る', 'ま', 'こ', 'に', 'ょ', 'は')","9621"
"('く', 'な', 'る', 'て', 'こ', 'が', ':', 'は')","9621"
"('く', 'な', 'っ', 'て', 'こ', 'が', ':', 'は')","9621"
"('く', 'な', 'る', 'て', 'こ', 'が', ':', 'す')","9621"
"('く', 'な', 'っ', 'て', 'こ', 'が', ':', 'す')","9621"
"('く', 'で', 'る', 'て', 'き', 'に', ':', 'は')","9621"
"('く', 'で', 'っ', 'て', 'き', 'に', ':', 'は')","9621"
"(':', 'な', 'っ', 'ま', 'こ', 'が', 'ょ', 'は')","9621"
"(':', 'な', 'る', 'ま', 'こ', 'が', 'ょ', 'は')","9621"
"('く', 'で', 'る', 'て', 'こ', 'に', ':', 'は')","9621"
"('く', 'で', 'っ', 'て', 'こ', 'に', ':', 'は')","9621"
"('く', 'で', 'る', 'て', 'こ', 'に', ':', 'す')","9621"
"('く', 'で', 'っ', 'て', 'こ', 'に', ':', 'す')","9621"
"('く', 'で', 'る', 'て', 'き', 'が', ':', 'は')","9621"
"(':', 'な', 'る', 'ま', 'こ', 'に', 'ょ', 'す')","9621"
"(':', 'な', 'っ', 'ま', 'こ', 'に', 'ょ', 'は')","9621"
"(':', 'な', 'る', 'ま', 'こ', 'に', 'ょ', 'は')","9621"
"('く', 'で', 'る', 'て', 'こ', 'が', ':', 'は')","9621"
"('く', 'で', 'っ', 'て', 'こ', 'が', ':', 'は')","9621"
"('く', 'で', 'る', 'て', 'こ', 'が', ':', 'す')","9621"
"('く', 'で', 'っ', 'て', 'こ', 'が', ':', 'す')","9621"
"('く', 'で', 'っ', 'ま', 'こ', 'が', ':', 'す')","9621"
"('く', 'で', 'る', 'ま', 'こ', 'が', ':', 'す')","9621"
"('く', 'で', 'っ', 'ま', 'こ', 'が', ':', 'は')","9621"
"('く', 'で', 'る', 'ま', 'こ', 'が', ':', 'は')","9621"
"(':', 'な', 'る', 'て', 'こ', 'に', 'ょ', 'は')","9621"
"(':', 'な', 'っ', 'て', 'こ', 'に', 'ょ', 'は')","9621"
"(':', 'な', 'る', 'て', 'こ', 'に', 'ょ', 'す')","9621"
